location,region,subregion,country_name,policy
Sweden,Eldoril,North,Eldoril North,A
Norway,Eldoril,West,Eldoril West,B
Denmark,Eldoril,South,Eldoril South,B
Finland,Eldoril,East,Eldoril East,B
United Kingdom,Thundoril,North,Thundoril North,B
France,Thundoril,South,Thundoril South,B
United States,Aerion,West,Aerion West,B
Canada,Aerion,North,Aerion North,B
Mexico,Aerion,South,Aerion South,B
Australia,Silvoria,North,Silvoria North,C
New Zealand,Silvoria,South,Silvoria South,C
China,Mystara,West,Mystara West,C
Japan,Mystara,East,Mystara East,C
South Korea,Mystara,North,Mystara North,C
Vietnam,Mystara,South,Mystara South,C
