Date,TSLA,PSNY,LCID,GOOG,AAPL,MSFT,UAL,AAL,DAL,CVX,XOM,SHEL
1/2/24,248.42,2.21,4.15,139.56,185.64,370.87,40.72,13.44,40.45,149.48,102.36,65.91
12/29/23,248.48,2.26,4.21,140.93,192.53,376.04,41.26,13.74,40.23,149.16,99.98,65.8
12/28/23,253.18,2.36,4.26,141.28,193.58,375.28,41.97,13.98,40.63,149.77,100.19,65.45
12/27/23,261.44,2.5,4.32,141.44,193.15,374.07,41.73,13.99,40.59,151.91,101.66,66.13
12/26/23,256.61,2.49,4.34,142.82,193.05,374.66,42.08,14.11,40.76,152.41,102.14,66.11
12/22/23,252.54,2.3,4.26,142.72,193.6,374.58,42.55,14.31,41.13,151.05,101.91,65.81
12/21/23,254.5,2.37,4.33,141.8,194.68,373.54,42.58,14.35,41.12,150.71,101.73,65.65
12/20/23,247.14,2.28,4.26,139.66,194.83,370.62,41.18,13.98,40.34,150.25,101.27,65.06
12/19/23,257.22,2.47,4.72,138.1,196.94,373.26,42.42,14.3,41.15,151.64,102.99,65.5
12/18/23,252.08,2.4,4.73,137.19,195.89,372.65,42.33,14.24,41.18,149.68,101.65,64.71
12/15/23,253.5,2.46,4.77,133.84,197.57,370.73,43.58,14.49,42.34,149.35,100.9,64.08
12/14/23,251.05,2.52,5.14,133.2,198.11,365.93,43.59,14.59,42.44,149.93,101.58,65.49
12/13/23,239.29,2.32,4.49,133.97,197.96,374.37,41.58,14.09,41.19,144.61,98.92,64.22
12/12/23,237.01,2.22,4.22,133.64,194.71,374.38,41.1,14.04,41.24,142.5,98.05,63.7
12/11/23,239.74,2.28,4.61,134.7,193.18,371.3,40.56,13.72,40.51,144.35,99.62,63.88
12/8/23,243.84,2.27,4.73,136.64,195.71,374.23,40.97,13.76,40.35,144.31,99.55,64.14
12/7/23,242.64,2.16,4.48,138.45,194.27,370.95,41.26,13.91,40.34,142.42,98.42,63.27
12/6/23,239.37,2.17,4.4,131.43,192.32,368.8,40.93,13.48,38.94,142.53,99.11,63.05
12/5/23,238.72,2.14,4.19,132.39,193.42,372.52,39.59,13.13,37.61,142.86,100.44,64.16
12/4/23,235.58,2.23,4.36,130.63,189.43,369.14,40.52,13.35,38.16,144.87,102.43,64.89
12/1/23,238.83,2.21,4.33,133.32,191.24,374.51,40.24,13.02,38.05,144.81,102.99,65.43
11/30/23,240.08,2.21,4.22,133.92,189.95,378.91,39.4,12.43,36.93,143.6,102.74,65.8
11/29/23,244.14,2.14,4.36,136.4,189.37,378.85,39.25,12.23,36.64,143.91,102.34,65.85
11/28/23,246.72,2.08,4.4,138.62,190.4,382.7,38.96,12.17,36.04,145.51,103.9,66
11/27/23,236.08,2.04,4.19,138.05,189.79,378.61,39.21,12.18,35.84,144.36,103.96,65.81
11/22/23,234.21,2.06,4.2,140.02,191.31,377.85,39.8,12.31,35.95,144.33,104.01,65.42
11/21/23,241.2,2.03,4.22,138.62,190.64,373.07,39.44,12.13,35.88,144.04,104.46,66.52
11/20/23,235.6,2.12,4.34,137.92,191.45,377.44,40.02,12.4,36.5,144.38,104.5,66.68
11/17/23,234.3,2.08,4.25,136.94,189.69,369.85,39.76,12.29,36.06,144.46,104.96,65.87
