"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-01-03T07:00:00.000Z","118.47","118.80","104.64","108.10","-12.24","-12.58","231,402,800"
"2023-01-04T07:00:00.000Z","109.11","114.59","107.52","113.64","5.12","4.78","180,389,000"
"2023-01-05T07:00:00.000Z","110.51","111.75","107.16","110.34","-2.90","-3.25","157,986,300"
"2023-01-06T07:00:00.000Z","103.00","114.39","101.81","113.06","2.47","2.12","220,911,100"
"2023-01-09T07:00:00.000Z","118.96","123.52","117.11","119.77","5.93","5.59","190,284,000"
"2023-01-10T07:00:00.000Z","121.07","122.76","114.92","118.85","-0.77","-1.11","167,642,500"
"2023-01-11T07:00:00.000Z","122.09","125.95","120.51","123.22","3.68","3.34","183,810,800"
"2023-01-12T07:00:00.000Z","122.56","124.13","117.00","123.56","0.28","-0.07","169,400,900"
"2023-01-13T07:00:00.000Z","116.55","122.63","115.60","122.40","-0.94","-1.28","180,714,100"
"2023-01-17T07:00:00.000Z","125.70","131.70","125.02","131.49","7.43","7.09","186,477,000"
"2023-01-18T07:00:00.000Z","136.56","136.68","127.01","128.78","-2.06","-2.40","195,680,300"
"2023-01-19T07:00:00.000Z","127.26","129.99","124.31","127.17","-1.25","-1.59","170,291,900"
"2023-01-20T07:00:00.000Z","128.68","133.51","127.35","133.42","4.91","4.57","138,858,100"
"2023-01-23T07:00:00.000Z","135.87","145.38","134.27","143.75","7.74","7.40","203,119,200"
"2023-01-24T07:00:00.000Z","143.00","146.50","141.10","143.89","0.10","-0.24","158,699,100"
"2023-01-25T07:00:00.000Z","141.91","146.41","138.07","144.43","0.38","0.03","192,734,300"
"2023-01-26T07:00:00.000Z","159.97","161.42","154.76","160.27","10.97","10.63","234,815,100"
"2023-01-27T07:00:00.000Z","162.43","180.68","161.17","177.90","11.00","10.66","306,590,600"
"2023-01-30T07:00:00.000Z","178.05","179.77","166.50","166.66","-6.32","-6.66","230,878,800"
"2023-01-31T07:00:00.000Z","164.57","174.30","162.78","173.22","3.94","3.59","196,813,500"
"2023-02-01T07:00:00.000Z","173.89","183.81","169.93","181.41","4.73","4.39","213,806,300"
"2023-02-02T07:00:00.000Z","187.33","196.75","182.61","188.27","3.78","3.44","217,448,300"
"2023-02-03T07:00:00.000Z","183.95","199.00","183.69","189.98","0.91","0.57","232,662,000"
"2023-02-06T07:00:00.000Z","193.01","198.17","189.92","194.76","2.52","2.17","186,188,100"
"2023-02-07T07:00:00.000Z","196.43","197.50","189.55","196.81","1.05","0.71","186,010,300"
"2023-02-08T07:00:00.000Z","196.10","203.00","194.31","201.29","2.28","1.94","180,673,600"
"2023-02-09T07:00:00.000Z","207.78","214.00","204.77","207.32","3.00","2.65","215,431,400"
"2023-02-10T07:00:00.000Z","202.23","206.20","192.89","196.89","-5.03","-5.37","204,754,100"
"2023-02-13T07:00:00.000Z","194.42","196.30","187.61","194.64","-1.14","-1.48","172,475,500"
"2023-02-14T07:00:00.000Z","191.94","209.82","189.44","209.25","7.51","7.16","216,455,700"
"2023-02-15T07:00:00.000Z","211.76","214.66","206.11","214.24","2.38","2.04","181,006,400"
"2023-02-16T07:00:00.000Z","210.78","217.65","201.84","202.04","-5.69","-6.04","229,586,500"
"2023-02-17T07:00:00.000Z","199.99","208.44","197.50","208.31","3.10","2.76","213,738,500"
"2023-02-22T07:00:00.000Z","197.93","201.99","191.78","200.86","-3.58","-3.92","191,828,500"
"2023-02-23T07:00:00.000Z","203.91","205.14","196.33","202.07","0.60","0.26","146,360,000"
"2023-02-24T07:00:00.000Z","196.33","197.67","192.80","196.88","-2.57","-2.91","142,228,100"
"2023-02-27T07:00:00.000Z","202.03","209.42","201.26","207.63","5.46","5.12","161,028,300"
"2023-02-28T07:00:00.000Z","210.59","211.23","203.75","205.71","-0.92","-1.27","153,144,900"
"2023-03-01T07:00:00.000Z","206.21","207.20","198.52","202.77","-1.43","-1.77","156,852,800"
"2023-03-02T07:00:00.000Z","186.74","193.75","186.01","190.90","-5.85","-6.20","181,500,700"
"2023-03-03T07:00:00.000Z","194.80","200.48","192.88","197.79","3.61","3.27","154,193,300"
"2023-03-06T07:00:00.000Z","198.54","198.60","192.30","193.81","-2.01","-2.35","128,100,100"
"2023-03-07T07:00:00.000Z","191.38","194.20","186.10","187.71","-3.15","-3.49","148,125,800"
"2023-03-08T07:00:00.000Z","185.04","186.50","180.00","182.00","-3.04","-3.38","151,897,800"
"2023-03-09T07:00:00.000Z","180.25","185.18","172.51","172.92","-4.99","-5.33","170,023,800"
"2023-03-10T07:00:00.000Z","175.13","178.29","168.44","173.44","0.30","-0.04","191,488,900"
"2023-03-13T06:00:00.000Z","167.46","177.35","163.91","174.48","0.60","0.26","167,790,300"
"2023-03-14T06:00:00.000Z","177.31","183.80","177.14","183.26","5.03","4.69","143,717,900"
"2023-03-15T06:00:00.000Z","180.80","182.34","176.03","180.45","-1.53","-1.87","145,995,600"
"2023-03-16T06:00:00.000Z","180.37","185.81","178.84","184.13","2.04","1.70","121,136,800"
"2023-03-17T06:00:00.000Z","184.52","186.22","177.33","180.13","-2.17","-2.51","133,197,100"
