region,country,date,value
Region_X,Country_1,1,0.041
Region_X,Country_1,2,0.515
Region_X,Country_1,3,2.722
Region_X,Country_1,4,8.193
Region_X,Country_1,5,17.022
Region_X,Country_1,6,26.054
Region_X,Country_1,7,33.624
Region_X,Country_1,8,40.923
Region_X,Country_1,9,47.369
Region_X,Country_1,10,50.592
Region_X,Country_1,11,50.105
Region_X,Country_1,12,44.932
Region_X,Country_1,13,39.407
Region_X,Country_1,14,35.087
Region_X,Country_1,15,30.523
Region_X,Country_1,16,25.459
Region_X,Country_1,17,21.545
Region_X,Country_1,18,17.713
Region_X,Country_1,19,14.842
Region_X,Country_1,20,11.808
Region_X,Country_1,21,8.789
Region_X,Country_1,22,6.243
Region_X,Country_1,23,4.658
Region_X,Country_1,24,3.358
Region_X,Country_1,25,2.343
Region_X,Country_1,26,1.72
Region_X,Country_1,27,1.435
Region_X,Country_1,28,1.341
Region_X,Country_1,29,1.3
Region_X,Country_1,30,1.232
Region_X,Country_1,31,1.327
Region_X,Country_1,32,1.422
Region_X,Country_1,33,1.747
Region_X,Country_1,34,2.478
Region_X,Country_1,35,4.469
Region_X,Country_1,36,7.231
Region_X,Country_1,37,11.253
Region_X,Country_1,38,16.711
Region_X,Country_1,39,22.506
Region_X,Country_1,40,28.925
Region_X,Country_1,41,36.427
Region_X,Country_1,42,42.941
Region_X,Country_1,43,49.184
Region_X,Country_1,44,53.558
Region_X,Country_1,45,56.307
Region_X,Country_1,46,57.363
Region_X,Country_1,47,55.887
Region_X,Country_1,48,51.242
Region_X,Country_1,49,45.392
Region_X,Country_1,50,38.621
Region_X,Country_1,51,31.945
Region_X,Country_1,52,25.283
Region_X,Country_1,53,20.042
Region_X,Country_1,54,16.386
Region_X,Country_1,55,14.327
Region_X,Country_1,56,13.501
Region_X,Country_1,57,12.838
Region_X,Country_1,58,12.838
Region_X,Country_1,59,12.702
Region_X,Country_1,60,12.526
Region_X,Country_1,61,12.147
Region_X,Country_1,62,11.971
Region_X,Country_1,63,10.982
Region_X,Country_1,64,9.899
Region_X,Country_1,65,8.572
Region_X,Country_1,66,7.191
Region_X,Country_1,67,5.715
Region_X,Country_1,68,4.482
Region_X,Country_1,69,3.047
Region_X,Country_1,70,2.099
Region_X,Country_1,71,1.463
Region_X,Country_1,72,0.907
Region_X,Country_1,73,0.623
Region_X,Country_1,74,0.501
Region_X,Country_1,75,0.447
Region_X,Country_1,76,0.474
Region_X,Country_1,77,0.677
Region_X,Country_1,78,0.961
Region_X,Country_1,79,1.557
Region_X,Country_1,80,2.234
Region_X,Country_1,81,2.763
Region_X,Country_1,82,3.142
Region_X,Country_1,83,3.724
Region_X,Country_1,84,3.927
Region_X,Country_1,85,3.968
Region_X,Country_1,86,3.697
Region_X,Country_1,87,3.426
Region_X,Country_1,88,3.25
Region_X,Country_1,89,3.169
Region_X,Country_1,90,2.668
Region_X,Country_1,91,2.573
Region_X,Country_1,92,2.763
Region_X,Country_1,93,3.02
Region_X,Country_1,94,3.196
Region_X,Country_1,95,3.629
Region_X,Country_1,96,4.929
Region_X,Country_1,97,6.784
Region_X,Country_1,98,9.791
